prev_supplier_number,predicted_FHR
021320P,77.78703333333335
032380P,72.87453333333333
061043P,39.44503333333332
061090P,86.20079999999997
070740P,56.20249999999999
082610P,32.86096666666669
092210P,58.20446666666668
100380,61.186733333333315
100520P,86.55909999999999
11330,38.65573333333332
11620,40.53349999999998
11630,55.11389999999999
120690P,44.08773333333333
12373,69.81946666666664
131820,70.86663333333333
140290,77.12813333333337
140320P,58.659933333333335
140858,82.11276666666663
142060,68.7884666666667
161395,84.91666666666669
161400,83.15319999999998
16220,18.76086666666667
163030,64.77546666666663
180330,50.19906666666667
191870,73.61706666666666
192569,28.781733333333314
192962,38.195733333333344
193020,50.055366666666664
194090,45.71309999999999
194190,18.777300000000004
194190P,31.257366666666663
200820,36.265333333333324
200820P,54.431166666666634
201330,50.892766666666645
203210,24.27530000000002
210480,25.954800000000002
210480P,52.79823333333333
210550,69.77333333333331
210610,69.7154
210610P,73.71536666666667
210721,27.762800000000006
21340,70.13446666666668
32590,77.17930000000001
33198,51.168766666666656
33298,55.66043333333336
40250,34.76756666666667
42110,75.27399999999993
500044,69.37536666666668
502746,71.59273333333337
502963,68.12553333333334
503115,49.78650000000002
503710P,70.3347333333333
503898,65.08666666666669
504860P,42.026833333333336
505067,74.20579999999997
50510,35.17250000000001
505537,65.78519999999999
505724,79.82443333333333
507111,51.27883333333338
507281P,70.26099999999995
50730,69.84786666666669
507535P,86.36633333333334
507755P,78.75406666666669
508398,78.6949666666667
50975,53.200699999999976
510176,86.21410000000002
510247,59.0093666666667
510254,56.91239999999997
510256,77.14276666666669
510381P,78.9864666666667
510590P,73.29623333333332
510863,40.8937
511432,73.92160000000007
511497,59.5029
511535,85.96023333333336
511595,69.10833333333332
511652,25.31746666666667
511895P,73.38480000000001
511897,61.023233333333316
512065,51.67270000000001
512392,42.651533333333354
512737,68.98203333333335
513264,51.23296666666669
514282P,83.53766666666671
515169,41.04983333333334
515604,19.84509999999999
515655P,34.96663333333333
515930,22.196233333333335
516892,51.036399999999965
517468,60.50263333333337
517567,50.66256666666664
517958,46.421099999999974
518087,83.60753333333335
518614,88.14700000000002
519075P,57.18879999999999
519141,39.64866666666667
519197,38.581433333333344
519197P,30.4727
519217,80.69996666666663
519619,45.8332666666667
519734,83.19783333333342
519769,43.551199999999966
519771,68.51739999999998
519912,35.08809999999998
520028,52.98789999999996
520039P,78.34006666666667
520349,62.45183333333334
520424,29.90383333333334
520446,34.70746666666665
520462,33.359899999999996
520568,72.42299999999999
520873,26.327633333333324
521031,58.683933333333336
521193,34.358133333333335
521215,37.387633333333326
521406,45.59593333333333
521423,53.08369999999999
521508,74.41740000000003
521740,86.75956666666666
521749,44.199199999999976
521758,79.06906666666663
521772,55.93746666666671
577942,59.15253333333336
578242P,84.82883333333334
578384,72.24680000000008
579773,84.83966666666667
580167,53.827033333333304
580404,36.872266666666654
580417P,39.83846666666667
581048,45.29193333333331
581297,67.0446
581643,74.65830000000007
583197,34.281533333333336
583417,19.704133333333328
583417P,33.362599999999986
583863,48.74663333333337
584067,87.9632
584281,32.541000000000004
584386,79.1389
584422,33.17406666666667
584515,73.56623333333336
584624P,49.95506666666665
585149,39.28980000000001
585517,80.07286666666666
585824,66.77103333333335
586125,27.175033333333324
586934,71.37333333333338
587133,41.18916666666668
591527,74.11520000000003
591674,49.60646666666666
594416P,79.2098666666667
595248,55.29326666666667
60290,79.74919999999996
61350,89.20109999999998
70260,29.48753333333333
70780,62.14403333333328
70940,33.88893333333334
71246,53.32929999999997
80480,64.5671
81160,56.87999999999998
90220,47.564333333333316
91034,35.470999999999975
91080,59.705833333333324
92140,43.97666666666666
